id,title,original_language,popularity,vote_average
278,The Shawshank Redemption,English,94.075,8.7
19404,Dilwale Dulhania Le Jayenge,Non-English,25.408,8.7
238,The Godfather,English,90.585,8.7
424,Schindler's List,English,44.761,8.6
240,The Godfather: Part II,English,57.749,8.6
667257,Impossible Things,Non-English,14.358,8.6
129,Spirited Away,Non-English,92.056,8.5
730154,Your Eyes Tell,Non-English,51.345,8.5
372754,Dou kyu sei – Classmates,Non-English,14.285,8.5
372058,Your Name.,Non-English,158.27,8.5
389,12 Angry Men,English,31.946,8.5
696374,Gabriel's Inferno,English,12.674,8.5
496243,Parasite,Non-English,65.147,8.5
497,The Green Mile,English,69.118,8.5
724089,Gabriel's Inferno: Part II,English,14.924,8.5
155,The Dark Knight,English,82.23,8.5
429,"The Good, the Bad and the Ugly",Non-English,47.73,8.5
680,Pulp Fiction,English,67.224,8.5
122,The Lord of the Rings: The Return of the King,English,134.707,8.5
761053,Gabriel's Inferno: Part III,English,47.608,8.5
13,Forrest Gump,English,65.175,8.5
11216,Cinema Paradiso,Non-English,18.677,8.5
346,Seven Samurai,Non-English,27.849,8.5
769,GoodFellas,English,50.387,8.5
533514,Violet Evergarden: The Movie,Non-English,23.933,8.5
637,Life Is Beautiful,Non-English,55.527,8.5
311,Once Upon a Time in America,English,25.789,8.5
14537,Harakiri,Non-English,14.472,8.4
539,Psycho,English,41.575,8.4
652837,"Josee, the Tiger and the Fish",Non-English,178.195,8.4
40096,A Dog's Will,Non-English,9.741,8.4
12477,Grave of the Fireflies,Non-English,0.6,8.4
510,One Flew Over the Cuckoo's Nest,English,27.541,8.4
550,Fight Club,English,58.676,8.4
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,Non-English,108.156,8.4
324857,Spider-Man: Into the Spider-Verse,English,118.785,8.4
598,City of God,Non-English,35.565,8.4
255709,Hope,Non-English,17.189,8.4
378064,A Silent Voice: The Movie,Non-English,170.606,8.4
92321,Hotarubi no Mori e,Non-English,0.6,8.4
4935,Howl's Moving Castle,Non-English,75.091,8.4
18491,Neon Genesis Evangelion: The End of Evangelion,Non-English,32.759,8.4
1891,The Empire Strikes Back,English,28.323,8.4
599,Sunset Boulevard,English,17.814,8.4
441130,Wolfwalkers,English,17.052,8.4
